order,date,author,title,published,pages,favorite,
343.,Jun 1985,Lucretius,On the Nature of the Universe ,c.54b.c.,256 pp.,true,
344.,Jun 1985,Leonardo Da Vinci,The Codex Leicester,1507,175 pp.,,
345.,Jun 1985,Howard Greenfeld,Caruso,1983,254 pp.,,
346.,Jul 1985,Marcel Proust,The Guermantes Way ,1925,425 pp.,true,
347.,Jul 1985,Frances Fitzgerald,Fire in the Lake,1972,590 pp.,,
348.,Aug 1985,Nora Ephron,Heartburn,1983,223 pp.,,
349.,Aug 1985,Fritjof Capra,The Tao of Physics,1975,311 pp.,,
350.,Aug 1985,Lao Tsu,Tao Te Ching ,6 Cent. bc.,81 pp.,true,
351.,Sep 1985,Leon Edel,Bloomsbury - A House of Lions,1979,299 pp.,,
352.,Sep 1985,Judith Martin,Miss Manners Guide to Excruciatingly Correct Behavior,1979,555 pp.,,
353.,Sep 1985,L.N. Tolstoy,Confession ,1879,93 pp.,true,
354.,Sep 1985,Alice Walker,The Color Purple,1982,251 pp.,,
355.,Oct 1985,Richard Ellmann,James Joyce ,1959,744 pp.,true,
356.,Oct 1985,E.F. Benson,Queen Lucia part 1,1920,318 pp.,,
357.,Oct 1985,James Joyce,Dubliners,1905,223 pp.,,
358.,Oct 1985,Thomas Hardy,The Mayor of Casterbridge,1886,411 pp.,,
359.,Oct 1985,Henry Chadwick,The Early Church,1967,289 pp.,,
360.,Oct 1985,Herodotus,The Histories ,446 bc.,624 pp.,true,
361.,Nov 1985,Edith Wharton,The House of Mirth ,1905,329 pp.,true,
362.,Nov 1985,J.K. Galbraith,A China Passage,1973,138 pp.,,
363.,Nov 1985,Arthur Schopenhauer,Essays and Aphorisms,1851,236 pp.,,
364.,Nov 1985,Luigi Barzini,The Europeans,1983,267 pp.,,
365.,Nov 1985,Rollo May,My Quest for Beauty,1985,243 pp.,,
366.,Dec 1985,Carl Sagan,Cosmos,1980,286 pp.,,
367.,Dec 1985,Eugen Herrigel,Zen in the Art of Archery,1953,90 pp.,,
368.,Dec 1985,David Hume,Dialogues Concerning Natural Religion,1750-75,105 pp.,,
369.,Dec 1985,Julius Caesar,The Conquest of Gaul,52 bc.,236 pp.,,
370.,Dec 1985,Mark Twain,A Connecticut Yankee in King Arthur's Court,1889,331 pp.,,
371.,Dec 1985,Richard Hudson,Linguistics,1984,166 pp.,,
372.,Jan 1986,Virgil,The Aeneid ,30-19bc.,336 pp.,true,
373.,Jan 1986,various poets,The Colour of Saying Anthology of Verse,1963,170 pp.,,
374.,Mar 1986,Gene A. Brucker,Renaissance Florence,1969,280 pp.,,
375.,Mar 1986,Edward I. Koch,Politics,1985,246 pp.,,
376.,Mar 1986,Giorgio Vasari,Lives of the Artists,1568,477 pp.,,
377.,Apr 1986,Julian Jaynes,The Origin of Consciousness in the Breakdown of the Bicameral Mind ,1976,446 pp.,true,
378.,Apr 1986,G. William Domhoff,Who Rules America Now?,1983,223 pp.,,
379.,May 1986,Martin Heidegger,"Poetry, Language, Thought",1971,229 pp.,,
